SophosLabs	0.0203764873023
Amit Yoran	0.0153578231714
Naked Security	0.0111627184559
Lookout	0.0103394603251
SUBWAY®	0.00914360386338
Michael Hiskey	0.00905754292295
devsecops	0.00855000760275
Moscone Center	0.00830603049916
Texiwill	0.0081661199325
Dune Lawrence	0.0078347162477
Europol	0.00759769327321
Visa	0.00622381931991
Senator Ben Sasse	0.00610651982656
DennisF	0.00584237966714
Zach Epstein	0.00503742507906
Disqus	0.00489952546738
Andrey Nikishin	0.00489673927528
Sara Peters	0.00465572754214
B Miller	0.00462474031489
Trusted Computing	0.00458245708842
Jill S. Russell	0.0043075484911
Ken Mingis	0.00430630747357
Dustin Collins	0.00428824218692
alan rusbridger	0.00423618715211
Thibault Reuille	0.00391742427279
George V. Hulme	0.00389408149372
Hillary Clinton	0.00387932903394
MISTrainingInstitute	0.00381803046641
Marietje Schaake	0.00376858437119
Helen Beal	0.00370186240275
Stefano Epifani	0.00362529532138
Check Point Software	0.00360286400498
Digitally Imported	0.00349078944715
GlobesEnglish	0.00347203080712
AWS Partner Network	0.00343951425517
MACH37	0.0034375195333
Andrew Plato	0.00343188281825
CBS Sunday Morning	0.00329415553489
Marcia Hofmann	0.00325329662165
Ester Pent	0.00324658067302
Lacoon Mobile Sec	0.00313892681099
atlas 0f d00m	0.00306068634585
HackingTeam	0.00293685290645
Shawn Harris	0.00290531568993
Christian Schneider	0.0027908110059
IKAHAN	0.00278519197516
cutaway	0.00276702562668
Beau Woods	0.00274486523472
tcmbc	0.00273836576749
Mr. Robot	0.0027201009855
ITKnowledgeExchange	0.00268069035622
John Pescatore	0.00262717397364
MichaelSantarcangelo	0.00260538548985
LastPass	0.00254817269961
Jordan H.	0.00253032865105
OPM	0.00245669046411
Robert Stroud CRISC	0.00245048950379
NH-ISAC	0.0024454775287
Adobe	0.00242244286618
Mathew J Schwartz	0.00238532046133
John E. Vincent	0.00237977631797
DataStax	0.00237562994897
switched	0.00236042420444
Clare O'Neill	0.00232910467326
DarkReading	0.00232266628574
John Shade	0.00229050862542
AIN	0.00228722501389
HD Moore	0.00228443894773
Rafał Łoś	0.00226389273166
Dean Wampler	0.00225918101684
Craig Timberg	0.002233856017
Sheryl Sandberg	0.00221472907923
Tech Economy	0.00221454757733
FounderFox	0.00221114911693
ISACA International	0.00220122191442
Rachel Kalmar	0.00216031049595
Brian J Lariche	0.00212742748132
Zscaler	0.0021061002741
Michael Andreano	0.00210163981681
Onalytica	0.00209006724439
Branndon Pike	0.00208713856404
Bromium	0.00207071639535
The Official AnonOps	0.00200676471859
Justin Lundy	0.0020014725054
LexisNexis	0.00200123873645
#UNITEDsummit	0.00199324456016
Anonymous	0.00196090718186
Edward Tufte	0.00191568143616
PayPal	0.001899721438
Ben Tomhave	0.00189557345923
Mitchell Porter	0.00189001238543
Lukas Rist	0.00188708114454
HPStorageGuy	0.00185674645828
Hacked Team	0.00185203018437
sucuri	0.00185050357297
Matthew Aid	0.00183377728963
Anonymous_B.I.G. 	0.00183366675816
